"","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country","Feed_item","codeSPAM","codeBasket_grouped"
"7180","65322",90.22,45.92,62.5,11.34,2.48,92.88,0.24,17.1,NA,NA,NA,1.9,NA,43.4,7.6,47.24,6.85,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7181","65338",90.12,46.12,64.6,11.57,2.21,93.69,0.04,14.8,NA,NA,NA,1.7,NA,37.9,6.4,48.06,7.03,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7182","65354",90.2,44.92,62.34,10.63,2.58,92.48,0.23,14.7,NA,NA,NA,1.7,NA,32.6,4.1,49.71,7.24,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7183","65275",90.13,46.67,63.89,11.33,2.69,94.41,0.17,11.8,NA,NA,NA,1.3,NA,35.3,6.4,47.96,6.98,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7184","65371",90.21,43.13,59.86,10.68,3.4,92.53,0.33,14.7,NA,NA,NA,1.7,NA,52.3,8.1,48.79,7.11,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7185","65291",90.11,46.06,62.41,11.3,2.68,94.37,0.22,14.1,NA,NA,NA,1.5,NA,35.9,7.9,47.72,6.95,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7186","65307",90.03,46.35,65.51,11.65,2.05,94.28,NA,12.4,NA,NA,NA,1.4,NA,42.4,5.4,47.65,6.96,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7187","65323",90.1,44.36,60.72,10.79,3.22,93.25,0.17,14.9,NA,NA,NA,1.7,NA,52.8,8.3,49.23,7.2,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7188","65339",90.19,42.43,59.4,10.1,3.83,91.83,0.25,15.2,NA,NA,NA,1.9,NA,52.1,8.3,51.15,7.46,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7189","65355",90.18,44.66,62.12,10.89,2.5,92.93,0.08,13.5,NA,NA,NA,1.5,NA,42.6,6.3,50.3,7.36,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7190","65276",90.43,45.29,62.9,10.64,1.81,91.1,0.25,14.4,NA,NA,NA,1.7,NA,42.3,3.1,50.1,7.38,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7191","65372",90.3,43.52,59.46,10.31,3.54,92.42,0.41,13.4,NA,NA,NA,1.6,NA,47,7.5,50.25,7.32,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7192","65292",90.02,45.36,63.34,11.31,2.24,93.91,0.07,15,NA,NA,NA,1.6,NA,33.4,5.9,49.19,7.22,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
